reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOF1Hr2fCLGHi0pPpfdrl_ZC2sCk9jlRxSNx2nS4_z1hfQMplGkxHQnesLGDzdbOgxZIXGssXmk03sZYGIg,Dona Suryawan,https://play-lh.googleusercontent.com/a-/AOh14GhHAqN6Y9e_q7ijlXiTfLRpPLZZi_D6d02Z0gQKtA,"Kenapa tidak bisa buka aplikasinya, terus meminta ijin lokasi...hadehhh",1,6,1.11,2021-07-14 10:52:11,,,most_relevant,com.deepcovid19
gp:AOqpTOF-8xnPACzenc-5OvM9wrd8f2g3_TtPQwQO1fsL4Fq22Y_PqedF0iYnG6U9XinWjTixffqyYlrWrjIq0oo,Hendra Sitorus,https://play-lh.googleusercontent.com/a/AATXAJxIS4RyxXHKdlyU-t3-8oePbo9bqgrcwCsPu-0r=mo,"Tetap kuncinya Imunitaslah, Masyarakat yg terpenting krn itu uang rakyat, Kedua Pemerintah yang menggunakan uang rakyat, Ketiga, RS senang jika Pemerintah bayar cepat klaim BPJS uang rakyat. bantu uang dan moral yang terkena penyakit kritis dan menjadi rentan komplikasi dengan covid19,yaitu penyakit jantung, paru-paru, diabetes, kanker, stroke, tbc, dll. Penyebaran spesimen harus merata dan jumlahnya sama di stiap propinsi. Penyelesaian pembayaran hutang dipercepat pihak BPJS dengan RS.",1,302,1.7,2020-06-28 03:11:04,,,most_relevant,com.deepcovid19
gp:AOqpTOFQCjEQdw6WzA7XRdhsRB8kkrb387hwJCy7coHSE9UhP-nK4tme10jLDnxaQXYcDUbswgD5uO2wZ0xVBpQ,Laras Abadi Suseno,https://play-lh.googleusercontent.com/a/AATXAJzlW9WR7V-8RU42knHUUtsCQYSDPmHVxbD5k5yK=mo,Infonya kurang komplit... Data tentang kerawanan per kecamatan...saya rasa lumayan.. Yg paling penting grafik data2 tentang kenaikan penurunan pasien konfirmasi positif... nasional per provinsi per kabupaten kota... Berapa kasus yg masih aktif...dan tidak menunjukkan cuma jumlah...tapi perkembangannya berapa yg sembuh... Berapa ODP PDP yg ada... juga berapa yg masih aktif... per propinsi kab. kota. Kalau bisa data2 perkembangan kasus seluruh Dunia... seperti Worldometer... Terimakasih...,1,500,1.11,2020-07-14 23:29:03,,,most_relevant,com.deepcovid19
gp:AOqpTOG8s8dJceX_DVKhaAHzJosj98Zb3EGJl5ea_0wu4dedxpP2uBmPR-h3ONCFmYJMMC7HEorzqMyQvkM9490,Mysterious Man,https://play-lh.googleusercontent.com/a/AATXAJxf1a0p9RC846_rEGMS3L6_bTNajw85UcXm1yZ9Ew=mo,Ini siapa yang buat aplikasinya sih sering banget bermasalah ampun deh. Bikin aplikasi aja banyak masalah.,1,15,1.11,2021-07-08 03:18:27,,,most_relevant,com.deepcovid19
gp:AOqpTOGMTHOfQuKFXU5OLNZOIWAX0k5sQt3DzXctzd0Xv7lSdMmpGHgW1A_wRtgwDYxA_XesSfI9yrZ7I9rSgPE,Ahmad Syamsul HA,https://play-lh.googleusercontent.com/a-/AOh14GgP4C3KZiMV_vorv1QRrk4j3cfO61vMk6uzQ-vkOQ,Aplikasinya gak jelas bngt masa ngisi data gak bisa sih tolong dong kementrian yang menaungi ini tanggung jawabnya gmana,1,3,1.11,2021-07-13 12:52:01,,,most_relevant,com.deepcovid19
gp:AOqpTOGRUR3qWYrbpObbHCB_EM42a0kgb_Nh9x8H_PjsgDYzmyBswIoLHsq8ScMK8uU3CaHTKXjW17gUF7x6EUU,mustaqim siddik,https://play-lh.googleusercontent.com/a/AATXAJwh0SWevDQNIHi14QzC2Oe2FN-clkVTb2LFqXbj=mo,"Baru instal aplikasi mw di registrasi sdh diisi semua yg diminta click verifikasi ternyata sdh teregistrasi, kapan sy registrasi?? Okelah, sy cb log in pke no saya, Waktu sy log in sy pilih reset password, eh ternyata kata sistem no yg anda maksud tidak terdaftar, mohon diperbaiki, aplikasi inj mungkin sangat penting bagi masyarakat indonesia, tpi sistem tidak mendukung",1,281,1.4,2020-05-18 08:45:07,Terima kasih atas masukannya Kak. Saat ini kami sudah update aplikasi. Silakan coba register lagi ya Kak 😊,2020-06-09 03:51:24,most_relevant,com.deepcovid19
gp:AOqpTOHj4X5HQIIvxV60fYzCDBrTNRvvSbcv2Pqj4DvuQJ5--vwUTPY1g8jKhFSVHgo60erEWkCm1THu6-A8qOA,Jaka Marjuna,https://play-lh.googleusercontent.com/a-/AOh14GiiH1WC7MQV7UwufDj0xbFp_r7EneobfYZfaSYpQQ,Beberapa Oknum jadikan wabah sebagai lahan bisnis. Tidak ada yg bisa dipercaya.,1,7,,2021-07-03 05:50:32,,,most_relevant,com.deepcovid19
gp:AOqpTOH1HZCaOL8OLACwWblNJfuggYILZhxebn21xWuN2I_p-JuiRvqfiTBlRjWqtT0mMWEFNwn5J7DDyQz5wio,Anton Jenggot,https://play-lh.googleusercontent.com/a-/AOh14GhqK-MMS3L77ye5cuYnBZ9XwrelygerjL-7wEBVtbg,Pertama kali di buka aplikasi stuck di halaman izin akses lokasi dan tidak bisa masuk.,1,13,1.11,2021-06-29 06:23:15,,,most_relevant,com.deepcovid19
gp:AOqpTOE9YKnnF9b6NhIqjDu47wHusMeTLcxJ9beuWvF8P1JgTSlIGZF7Tii6LXO4dVcKxbA-igsfIXf4R-j9J7Q,Jenkmith,https://play-lh.googleusercontent.com/a-/AOh14GgSrnXgrc9pJ6b0-xdDQUgftU7_ugYLjcLrbo_vSQ,Tidak dapat terhubung ke server disuruh cek koneksi interner padahal internet saya aktif tapi aplikasi g mau jalan hanya muncul di layar coba lagi sudah di uninstal dan di intal lagi g ada keterangan apa2 mohon pengembang klo aplikasi bermasalah bg apa solusinya - saya pakai samsung A71,1,43,1.11,2021-03-12 03:15:40,,,most_relevant,com.deepcovid19
gp:AOqpTOGXt40u9-5uu9j2vtnePG5jy6XD0GrrkYLvNyzmFmMpn5LlbIbjKAsq7aSudfYRdZObUy_zbTEl5MdWrMo,Awang Satriatmaka,https://play-lh.googleusercontent.com/a-/AOh14GgkVjpNH8d3sQPz6Nd2d06xrraPXnraAz4u5IZA,"akses lokasi sudah diberi izin, namun berulang seperti itu terus",1,10,1.11,2021-06-23 08:07:39,,,most_relevant,com.deepcovid19
